id,direction,survivors,group,enlem,boylam
1,0,340000,1,54.95,24.25
2,0,340000,1,54.75,25.0
3,0,320000,1,54.6,25.75
4,0,300000,1,54.75,26.5
5,0,280000,1,54.849999999999994,27.5
6,0,240000,1,54.95,28.25
7,0,210000,1,55.05,28.75
8,0,180000,1,55.150000000000006,29.5
9,0,175000,1,55.25,30.15
10,0,145000,1,55.05,31.15
11,0,140000,1,54.849999999999994,32.6
12,0,127100,1,55.2,33.8
13,0,100000,1,55.45,34.95
14,0,100000,1,55.45,35.75
15,0,100000,1,55.65,36.8
16,1,100000,1,55.75,37.650000000000006
17,1,98000,1,55.7,37.6
18,1,97000,1,55.35,37.25
19,1,96000,1,55.0,36.9
20,1,87000,1,55.15,36.099999999999994
21,1,55000,1,55.25,34.849999999999994
22,1,37000,1,55.0,33.8
23,1,24000,1,54.7,32.65
24,1,20000,1,54.5,31.2
25,1,20000,1,54.349999999999994,29.799999999999997
26,1,20000,1,54.25,28.85
27,1,20000,1,54.25,28.4
28,1,20000,1,54.4,27.9
29,1,12000,1,54.4,27.15
30,1,14000,1,54.349999999999994,26.6
31,1,8000,1,54.4,25.7
32,1,4000,1,54.4,24.7
33,1,4000,1,54.4,24.299999999999997
34,1,4000,1,54.4,24.15
35,0,60000,2,54.75,24.05
36,0,60000,2,55.150000000000006,24.25
37,0,60000,2,54.95,25.0
38,0,40000,2,55.2,26.05
39,0,33000,2,55.650000000000006,27.0
40,0,33000,2,55.55,28.049999999999997
41,1,33000,2,55.5,28.7
42,1,30000,2,54.85,28.95
43,1,30000,2,54.150000000000006,28.85
44,1,28000,2,54.150000000000006,28.4
45,0,22000,3,54.7,26.15
46,0,22000,3,55.25,24.25
47,0,6000,3,55.55,24.55
48,1,6000,3,55.8,24.6
49,1,6000,3,55.099999999999994,24.4
50,1,6000,3,54.4,24.15
